id,Number of Rating,Mean Rating,score
AVpjI0B41cnluZ0-T5TH,123,4.869918699186992,4.756135249072137
AVqlHaLknnc1JgDc3m5y,88,4.8522727272727275,4.709815029135106
AVpfjP9uilAPnD_xdy6-,100,4.83,4.705877535982093
AV1YFmcQglJLPUi8IGd1,114,4.798245614035087,4.692940865853232
AVpiAzN7ilAPnD_x_wOJ,107,4.766355140186916,4.662981198423431
AVphRsH11cnluZ0-Agzr,97,4.762886597938144,4.652318257
AVpfVI9wilAPnD_xZxH-,54,4.796296296296297,4.6178116489081305
AVsRhL-fQMlgsOJE6zvB,477,4.637316561844863,4.617154171055349
AVpg59zyilAPnD_xyv3y,38,4.842105263157895,4.601768287505687
AVpf3txeLJeJML43FN82,507,4.615384615384615,4.597628404794142
